name,title_el,title_en,description_el,description_en,logo_url
oasa,Οργανισμός Αστικών Συγκοινωνιών Αθηνών,Athens Urban Transport Organisation,"Ο Οργανισμός Αστικών Συγκοινωνιών Αθηνών είναι ο μεγαλύτερος φορέας συγκοινωνιακού έργου στην Ελλάδα, υπεύθυνος για τον έλεγχο και την λειτουργία των μέσων μαζικής μεταφοράς της Αθήνας και του Πειραιά, αλλά και της ευρύτερης περιοχής του Λεκανοπεδίου και άλλων περιοχών του νομού Αττικής.",,organizations/oasa.gif
okxe,Οργανισμός Κτηματολογίου και Χαρτογραφήσεων Ελλάδας,Hellenic Mapping and Cadastral Organization,"
 
Σκοπός του Οργανισμού, σύμφωνα με το Ν. 3882/2010, είναι:
 - Η σύνταξη, τήρηση και ενημέρωση του ενιαίου αποδεικτικού κτηματολογίου της Ελλάδας
 - Η γεωδαιτική κάλυψη και χαρτογράφηση της χώρας
 - Η απογραφή και χαρτογράφηση των φυσικών διαθεσίμων της
 - Η δημιουργία και τήρηση ψηφιακών γεωχωρικών δεδομένων και δεδομένων περιβάλλοντος
 - Η λειτουργία συστήματος συντονισμού και διάχυσης γεωπληροφορίας
 
 
Στην αρμοδιότητα του Οργανισμού ανήκει:
 - Ο σχεδιασμός, η ανάπτυξη, η οργάνωση, η λειτουργία, η διαχείριση και η εποπτεία της Εθνικής Υποδομής Γεωχωρικών Πληροφοριών της Ελλάδας
 - Η μέριμνα για τη σύνταξη βασικών και παράγωγων τοπογραφικών χαρτών της χώρας και τοπογραφικών διαγραμμάτων
 - Η ενημέρωση, τήρηση και αναθεώρηση των χαρτών και διαγραμμάτων που συντάσσονται ή προϋπάρχουν
 - Ο συντονισμός, η έγκριση και ο έλεγχος της εφαρμογής των κάθε είδους προγραμμάτων χαρτογραφήσεων και κτηματολογίου όλων των φορέων του δημόσιου τομέα, όπως αυτός επαναοριοθετήθηκε με το άρθρο 51 του ν. 1892/1990 (ΦΕΚ 101 Α΄), με την επιφύλαξη των χαρτών που εγκρίνονται από άλλες δημόσιες αρχές στο πλαίσιο των αρμοδιοτήτων τους, σε εφαρμογή διατάξεων του κοινοτικού δικαίου ή διεθνών συνθηκών και με την προϋπόθεση ότι οι χάρτες αυτοί είναι συμβατοί με την Εθνική Υποδομή Γεωχωρικών Πληροφοριών
 - Ο προγραμματισμός, η εκτέλεση και ο έλεγχος φωτογραμμετρικών και τηλεπισκοπικών εργασιών από τη λήψη αεροφωτογραφιών και δορυφορικών εικόνων έως και την τελική απόδοση για την κάλυψη των αναγκών του και των αναπτυξιακών προγραμμάτων των κρατικών υπηρεσιών, δημόσιων οργανισμών, νομικών προσώπων δημόσιου δικαίου και οργανισμών τοπικής αυτοδιοίκησης και λοιπών δημόσιων αρχών, με την επιφύλαξη των σχετικών εργασιών που ασκούνται από άλλες δημόσιες αρχές στο πλαίσιο των αρμοδιοτήτων τους, σε εφαρμογή διατάξεων του κοινοτικού δικαίου ή διεθνών συνθηκών. (Στην περίπτωση αυτή οι εν λόγω εργασίες πρέπει να είναι συμβατές με τις απαιτήσεις της ΕΥΓΕΠ)
 - Η συνεργασία με τους αρμόδιους φορείς για τη σύνταξη, ενημέρωση και εκτύπωση πάσης φύσεως συνόλων γεωχωρικών δεδομένων και χαρτών
 - Η σύνταξη, η τήρηση και η ενημέρωση του Εθνικού Κτηματολογίου
 - Η οργάνωση και τήρηση βάσεων ψηφιακών γεωχωρικών δεδομένων αρμοδιότητάς του
 - Η σύνταξη τεχνικών προδιαγραφών, κανονισμών και τιμολογίων σχετικών με τις εργασίες του, σύμφωνα με την εθνική και κοινοτική νομοθεσία
 - Η ανάπτυξη της έρευνας, της τεχνολογίας και της πληροφορικής σε θέματα σχετικά με το σκοπό του
 - Η συγκρότηση αρχείου προϊόντων του Οργανισμού και η διάθεσή τους σε κάθε ενδιαφερόμενο
 - Η εκτέλεση κάθε άλλης εργασίας που είναι απαραίτητη για την πραγματοποίηση της αποστολής του",,organizations/okxe.jpg
orsa,Οργανισμός Ρυθμιστικού Σχεδίου και Προστασίας Περιβάλλοντος Αθήνας,Organisation of Planning and Environmental Protection of Athens,"Ο Οργανισμός Ρυθμιστικού Σχεδίου και Προστασίας Περιβάλλοντος Αθήνας(ΟΡΣΑ), που ιδρύθηκε με το  (1515/85) του Ρυθμιστικού Σχεδίου Αθήνας, αποτελεί τον φορέα συνολικής και επιτελικής διαχείρισης των χωροταξικών, πολεοδομικών και περιβαλλοντικών θεμάτων για ολόκληρη την Περιφέρεια Αττικής. Παράλληλα, έχει και την αρμοδιότητα συσχέτισης του οικονομικού προγραμματισμού με τα διάφορα επίπεδα χωρικού σχεδιασμού, για δράσεις και προγράμματα που αφορούν στο συγκεκριμένο χώρο. 

Είναι Νομικό Πρόσωπο Δημοσίου Δικαίου, με διοικητική και οικονομική αυτοτέλεια και εποπτεύεται από τον Υπουργό Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής (ΥΠΕΚΑ).",,organizations/orsa_logo.png
rae,Ρυθμιστική Αρχή Ενέργειας,Regulatory Authority for Energy,"Η Ρυθμιστική Αρχή Ενέργειας (ΡΑΕ) είναι ανεξάρτητη ρυθμιστική αρχή, η οποία συστήθηκε με το ν.2773/1999, στο πλαίσιο εναρμόνισης με τις Οδηγίες 2003/54/ΕΚ και 2003/55/ΕΚ για τον ηλεκτρισμό και το φυσικό αέριο, με κύρια αρμοδιότητά της να εποπτεύει την εγχώρια αγορά ενέργειας, σε όλους τους τομείς της, εισηγούμενη προς τους αρμόδιους φορείς της Πολιτείας και λαμβάνοντας η ίδια μέτρα για την επίτευξη του στόχου της απελευθέρωσης των αγορών ηλεκτρικής ενέργειας και φυσικού αερίου.",,organizations/rae.gif
diazoma,Σωματείο `ΔΙΑΖΩΜΑ`,"""DIAZOMA"" Association","Όσοι συμμετέχουμε στο ΔΙΑΖΩΜΑ είμαστε αποφασισμένοι να κάνουμε πράξη την αγάπη μας για τα μνημεία και την πολιτιστική κληρονομιά. Επίκεντρο του ενδιαφέροντός μας είναι η ανάδειξη των αρχαίων θεάτρων, η εξεύρεση πόρων και η ένταξή τους στην καθημερινότητα μας. Ανοιχτό σε όλους, το ΔΙΑΖΩΜΑ επιδιώκει να ανοίξει μια αγκαλιά για την προστασία των αρχαίων θεάτρων, αυτού του κορυφαίου επιτεύγματος της αρχαίας ελληνικής αρχιτεκτονικής, εκεί ακριβώς όπου συντελέσθηκε η έκρηξη των δημοκρατικών θεσμών και άνθισε η πολιτιστική και πνευματική δημιουργία.",,organizations/diazoma.jpg
hydroscope,Υδροσκόπιο,Hydroscope,"Το Υδροσκόπιο είναι το αποτέλεσμα μακροχρόνιων προσπαθειών πλήθους επιστημόνων του Τομέα Υδατικών Πόρων και Περιβάλλοντος του ΕΜΠ σε συνεργασία με διαφόρους ιδιωτικούς και δημόσιους φορείς. Υλοποιήθηκε σε τρεις φάσεις στα πλαίσια ερευνητικών έργων που χρηματοδοτήθηκαν από τη Γενική Γραμματεία Έρευνας και Τεχνολογίας του Υπουργείου Ανάπτυξης, το Υπουργείο Περιβάλλοντος Χωροταξίας και Δημοσίων Έργων, το Υπουργείο Περιβάλλοντος Ενέργειας και Κλιματικής Αλλαγής και την Ευρωπαϊκή Ένωση και αποτελεί ένα από τα πιο φιλόδοξα έργα πληροφορικής στην Ελλάδα.",,organizations/YPAPE_logo.png
ypes,Υπουργείο Εσωτερικών και Διοικητικής Ανασυγκρότησης,Ministry of the Interior and Administrative Reconstruction,"Το Υπουργείο Εσωτερικών και Διοικητικής Ανασυγκρότησης δημιουργήθηκε στις 27 Ιανουαρίου του 2015, έπειτα από συγχώνευση προηγούμενων υπουργείων και υπηρεσιών, όταν και προστέθηκαν οι αρμοδιότητες του Υπουργείου Διοικητικής Μεταρρύθμισης, Δημόσιας Τάξης και Μακεδονίας-Θράκης.

Στις αρμοδιότητες του υπουργείου περιλαμβάνονται κυρίως η εποπτεία επί των αποκεντρωμένων διοικήσεων και των οργανισμών τοπικής αυτοδιοίκησης (δήμοι και περιφέρειες), ο συντονισμός και η οργάνωση της προσφυγής στη λαϊκή ετυμηγορία (εκλογές, δημοψηφίσματα), η νομοθεσία περί ελληνικής ιθαγένειας και ομογενών, η νομοθεσία περί μητρώων, ληξιαρχείων και δημοτολογίων, ζητήματα περί ισότητας των φύλων, η μεταναστευτική πολιτική και η νομοθεσία περί αλλοδαπών (άδειες διαμονής, κοινωνική ένταξη).

H έδρα του είναι στην οδό Σταδίου 27 στην Αθήνα.",,organizations/YPES_(2015)_logo.png
ypapen,"Υπουργείο Παραγωγικής Ανασυγκρότησης, Περιβάλλοντος και Ενέργειας","Ministry of Productive Reconstruction, Environment and Energy","Το Υπουργείο Παραγωγικής Ανασυγκρότησης, Περιβάλλοντος και Ενέργειας (Υ.Π.Α.Π.ΕΝ.), προήλθε από τη συγχώνευση του Υπουργείου Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής με το Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων.",,organizations/YPAPE_logo.png
yppopai,"Υπουργείο Πολιτισμού, Παιδείας και Θρησκευμάτων","Ministry of Culture, Education and Religious Affairs","Το Υπουργείο Πολιτισμού, Παιδείας και Θρησκευμάτων (Υ.ΠΟ.ΠΑΙ.Θ.) ιδρύθηκε στις 27/1/2015 συγκεντρώνοντας τις αρμοδιότητες του Υπουργείου Παιδείας και Θρησκευμάτων και του Υπουργείου Πολιτισμού και Αθλητισμού.",,organizations/minedu.png
fd-axiosdelta,Φορέας Διαχείρισης Δέλτα Αξιού-Λουδία-Αλιάκμονα,Axios - Loudias - Aliakmonas Management Authority,"Ο Φορέας Διαχείρισης Δέλτα Αξιού-Λουδία-Αλιάκμονα ιδρύθηκε το 2003 με σκοπό την διοίκηση, προστασία και διαχείριση του υγροτοπικού συστήματος που αποτελείται από τα Δέλτα των ποταμών Αξιός και Αλιάκμονας, από τις εκβολές του Λουδία και του Γαλλικού, από τη λιμνοθάλασσα Καλοχωρίου και τις Αλυκές Κίτρους. 

Είναι ένας από τους 28 Φορείς Διαχείρισης που λειτουργούν στη χώρα μας για τη διαχείριση των προστατευεόμενων περιοχών, στο πλαίσιο και της υποχρεώσης της χώρας μας προς την Ευρωπαϊκή Ένωση να εφαρμόσει αποτελεσματικά μέτρα προστασίας του περιβάλλοντος και της βιοποικιλότητας.

Ο Φορέας Διαχείρισης είναι νομικό πρόσωπο ιδιωτικό δικαίου κοινωφελούς χαρακτήρα που εποπτεύεται από το υπουργείο Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής (ΥΠΕΚΑ). Η λειτουργία του χρηματοδοτείται μέχρι το τέλος του 2015 από το ΕΣΠΑ και πιο συγκεκριμένα από το Επιχειριασιακό Πρόγραμμα Μακεδονία Θράκη 2007- 2013, μέσω του έργου «Στήριξη της λειτουργίας του Φορέα Διαχείρισης Δέλτα Αξιού – Λουδία - Αλιάκμονα με σκοπό τη διαχείριση της περιοχής ευθύνης του», συνολικού ύψους 3,74 εκατ. ευρώ.

Διοικείται από εννεαμελές διοικητικό συμβούλιο στο οποίο συμμετέχουν εκπρόσωποι των υπουργείων ΠΕΚΑ, Ανάπτυξης, Αγροτικής Ανάπτυξης, της Περιφέρειας Κεντρικής Μακεδονίας, των αρμόδιων τοπικών αυτοδιοικήσεων, των παραγωγικών φορέων της περιοχής, της επιστημονικής κοινότητας, καθώς και μη κυβερνητικών οργανώσεων που δραστηριοποιούνται στον τομέα του περιβάλλοντος. Έχει την έδρα του στη Χαλάστρα Θεσσαλονίκης.

Στις αρμοδιότητες του Φορέα υπάγεται: 
- Η κατάρτιση και η ευθύνη εφαρμογής των κανονισμών διοίκησης και λειτουργίας της προστατευόμενης περιοχής και του σχεδίου διαχείρισής της. 
- Η παρακολούθηση και αξιολόγηση της εφαρμογής των κανονιστικών όρων και περιορισμών. 
- Η μέριμνα για τη συλλογή, ταξινόμηση και επεξεργασία περιβαλλοντικών στοιχείων και δεδομένων για την περιοχή ευθύνης του 
- Η παροχή γνωμοδοτήσεων πριν από την προέγκριση χωροθέτησης και την έγκριση των περιβαλλοντικών όρων για έργα και δραστηριότητες που εμπίπτουν στην περιοχή ευθύνης, καθώς και σε κάθε άλλο θέμα για το οποίο ζητείται η γνώμη τους. 
- Η κατάρτιση μελετών και ερευνών, καθώς και η εκτέλεση τεχνικών ή άλλων έργων που περιλαμβάνονται στο οικείο σχέδιο διαχείρισης και στα αντίστοιχα προγράμματα δράσης και είναι απαραίτητα για την προστασία, διατήρηση, αποκατάσταση και ανάδειξη των προστατευόμενων περιοχών. 
- Η ανάληψη εκπόνησης ή εκτέλεσης εθνικών ή ευρωπαϊκών προγραμμάτων και δράσεων. 
- Η ενημέρωση, εκπαίδευση και κατάρτιση του πληθυσμού σε θέματα που ανάγονται στις αρμοδιότητες και τους σκοπούς του φορέα, καθώς και στην προστασία των περιοχών ευθύνης τους. 
- Η προώθηση, υποστήριξη, οργάνωση και εφαρμογή οικοτουριστικών προγραμμάτων, η έκδοση αδειών ξενάγησης. 
- Η χορήγηση αδειών επιστημονικής έρευνας και τεχνικών δοκιμών και αναλύσεων.",,organizations/foreas-diax-axiou-aliakmona.jpg
fd-lmes,Φορέας Διαχείρισης Λιμνοθάλασσας Μεσολογγίου,Management Agency of Messolonghi Lagoon,"Ο Φορέας Διαχείρισης Λιμνοθάλασσας Μεσολογγίου είναι Νομικό Πρόσωπο Ιδιωτικού Δικαίου, ο οποίος συστήθηκε το 2003 βάσει πλαισίου που διέπεται από τους νόμους 3044 (Φ.Ε.Κ. Α' 197/27-08-2002), 1650/1986 για «την προστασία του περιβάλλοντος» και 2742 (ΦΕΚ207Α/07-10-99), ενώ συγκροτήθηκε με την Υ.Α. 126432/2460 (ΦΕΚ918Β/04-07-03) η οποία τροποποιήθηκε με την Υ.Α. 20700 (ΦΕΚ659Β/25-05-06).

Έχουν εγκριθεί όλοι οι κανονισμοί λειτουργίας του Φορέα και συγκεκριμένα: κανονισμός λειτουργίας του Δ.Σ, κανονισμός λειτουργίας προσωπικού, κανονισμός οικονομικής λειτουργίας, κανονισμός για την εκτέλεση έργων, για την ανάθεση, παρακολούθηση και παραλαβή μελετών και υπηρεσιών, την προμήθεια και την παραλαβή αγαθών, υλικών, και προϊόντων και για τη σύναψη και εκτέλεση των σχετικών συμβάσεων του Φορέα.

Ο Φορέας διοικείται από 11μελές Διοικητικό Συμβούλιο του οποίου η σύσταση καθορίστηκε με απόφαση του Υπουργού ΠΕ.ΚΑ. (ΦΕΚ.216/11-07-2011 & τροπ ΦΕΚ 497/14-08-2014). Στο Δ.Σ. εκπροσωπούνται:
 - Το ελληνικό δημόσιο, το οποίο έχει δεσμευθεί με διεθνείς συμβάσεις για την προστασία, διαχείριση και ανάδειξη της περιοχής,
 - η τοπική κοινωνία μέσω της ΤΕΔΚ και της Νομ. Αυτοδιοίκησης
 - η Επιστημονική Κοινότητα με δύο ειδικούς επιστήμονες
 - οι Μ.Κ.Ο
 - οι παραγωγικοί φορείς

Σκοπός του Φορέα Διαχείρισης είναι η διοίκηση και διαχείριση του Εθνικού Πάρκου Λιμνοθαλασσών Μεσολογγίου-Αιτωλικού, εκβολών και κάτω ρου ποταμών Αχελώου και Ευήνου και Εχινάδων νήσων.

Παράλληλα με την προστασία των οικοσυστημάτων ο Φορέας Διαχείρισης Λιμνοθάλασσας Μεσολογγίου είναι προσανατολισμένος στην ανάδειξη των περιβαλλοντικών αξιών της περιοχής, και στη δημιουργία των καλύτερων δυνατών προϋποθέσεων για τη βιώσιμη ανάπτυξη που επιζητά η τοπική κοινωνία.

Με βάση τα προηγούμενα, ο Φορέας Διαχείρισης, στην περιοχή ευθύνης του:
 - προτείνει και υλοποιεί έργα προστασίας και ανάδειξης της περιοχής
 - παρακολουθεί παράγοντες ποιότητας του φυσικού περιβάλλοντος
 - γνωμοδοτεί για δραστηριότητες, έργα κλπ.
 - αναπτύσσει δράσεις ενημέρωσης - ευαισθητοποίησης του κοινού και προσέλκυσης επισκεπτών
 - εκδίδει έντυπο και ηλεκτρονικό ενημερωτικό - πρωθητικό υλικό
 - οργανώνει εκδηλώσεις, επιστημονικές συναντήσεις κλπ.

Στο διάστημα λειτουργίας του, ο Φορέας Διαχείρισης επιδιώκει και έχει επιτύχει τη δημιουργική συνεργασία με υπηρεσίες, θεσμικούς και κοινωνικούς φορείς σε τοπικό και περιφερειακό επίπεδο. Στις προτεραιότητές του βρίσκεται σταθερά η επικοινωνία με τον τοπικό  - πληθυσμό και ιδιαίτερα με τους φορείς εκπαίδευσης όλων των βαθμίδων. Αυτό εξυπηρετεί και η λειτουργία, στο πλαίσιο του Φορέα, του Κέντρου Πληροφόρησης Υγροτόπων Λιμνοθάλασσας Μεσολογγίου-Αιτωλικού, η μοναδική στην περιοχή υποδομή ανάδειξης των  - οικολογικών αξιών και λειτουργιών της.",,organizations/foreas-diax-limnothalassa-messologiou.gif
